SPECTRUM - MS,
VI-143.raw,
FTMS + p ESI Full ms [200.00-3000.00],
Scan #: 17-31,
RT: 0.30-0.56,
AV: 15,
SB: 19  0.01-0.34 ,
Data points: 67852,
Mass,Intensity
205.085484,0
205.086039,0
205.086593,0
205.087148,0
205.087703,0
205.088257,21.196476
205.088812,0
205.089366,0
205.089921,0
205.090476,0
205.235865,0
205.236421,0
205.236976,0
205.237531,0
205.238086,20.411583
205.238641,41.793516
205.239197,50.797463
205.239752,44.89431
205.240307,23.320109
205.240862,4.977567
205.241418,0.000184
205.241973,0
205.242528,0
205.243083,0
205.243639,0
205.647901,0
205.648458,0
205.649015,0
205.649571,0
205.650128,3.100257
205.650685,8.308174
205.651242,11.387788
205.651799,11.415376
205.652356,8.712908
205.652913,3.353343
205.65347,0
205.654027,0
205.654584,0
205.65514,0
206.133811,0
206.13437,0
206.134929,0
206.135488,0
206.136047,23.637848
206.136606,226.747636
206.137165,1084.749307
206.137723,2489.07862
206.138282,3665.440299
206.138841,3814.284489
206.1394,2849.859351
206.139959,1460.766944
206.140518,396.48104
206.141077,66.218672
206.141636,8.720389
206.142195,0.000377
206.142754,0
206.143312,0
206.143871,0
206.14443,0
206.14946,0
206.150019,0
206.150578,0
206.151137,0
206.151696,16.273607
206.152255,51.618126
206.152814,101.789134
206.153373,157.074125
206.153932,163.840369
206.154491,109.352919
206.15505,25.982054
206.155609,0
206.156168,0
206.156727,0
206.157286,0
206.242833,0
206.243393,0
206.243952,0
206.244511,0
206.245071,25.371149
206.24563,43.624488
206.246189,54.131986
206.246749,52.963335
206.247308,35.298206
206.247867,7.57609
206.248426,0.000333
206.248986,0
206.249545,0
206.250104,0
206.250664,0
206.478504,0
206.479064,0
206.479624,0
206.480185,0
206.480745,11.300628
206.481305,33.975937
206.481866,41.015045
206.482426,44.309535
206.482986,41.616941
206.483546,23.591898
206.484107,0.001074
206.484667,0
206.485227,0
206.485788,0
206.486348,0
206.495313,0
206.495873,0
206.496434,0
206.496994,0
206.497554,5.718446
206.498115,24.365873
206.498675,42.920416
206.499235,45.808526
206.499796,33.039154
206.500356,12.858466
206.500916,0.000587
206.501477,0
206.502037,0
206.502598,0
206.503158,0
206.667444,0
206.668005,0
206.668566,0
206.669127,0
206.669688,21.660762
206.670249,39.893517
206.67081,44.941632
206.671371,43.477881
206.671932,34.243755
206.672493,11.414699
206.673054,0.000534
206.673615,0
206.674176,0
206.674737,0
206.675298,0
206.794296,0
206.794858,0
206.795419,0
206.795981,0
206.796542,11.490413
206.797104,31.770374
206.797666,46.007173
206.798227,47.297987
206.798789,33.985292
206.79935,11.69096
206.799912,0.000558
206.800473,0
206.801035,0
206.801597,0
206.802158,0
206.84316,0
206.843722,0
206.844284,0
206.844845,0
206.845407,8.103586
206.845969,28.767188
206.846531,42.806066
206.847092,44.370638
206.847654,31.403128
206.848216,11.714044
206.848778,0.000563
206.849339,0
206.849901,0
206.850463,0
206.851025,0
206.917893,0
206.918455,0
206.919017,0
206.919579,0
206.920142,11.804636
206.920704,36.74142
206.921266,45.943762
206.921828,46.240824
206.92239,35.419302
206.922952,15.857341
206.923514,0.00077
206.924076,0
206.924638,0
206.9252,0
206.925762,0
206.930821,0
206.931383,0
206.931945,0
206.932508,0
206.93307,34.111503
206.933632,46.73628
206.934194,52.741816
206.934756,50.233262
206.935318,34.985934
206.93588,1.349679
206.936442,0.000066
206.937005,0
206.937567,0
206.938129,0
206.938691,0
207.07761,0
207.078173,0
207.078735,0
207.079298,0
207.079861,2.714663
207.080423,0
207.080986,0
207.081549,0
207.082112,0
207.138396,0
207.138959,0
207.139522,0
207.140084,0
207.140647,11.104575
207.14121,44.808535
207.141773,79.828912
207.142336,88.077378
207.142899,66.112728
207.143462,30.251221
207.144025,6.072126
207.144588,0.000304
207.145151,0
207.145714,0
207.146277,0
207.14684,0
207.168799,0
207.169362,0
207.169925,0
207.170488,0
207.171051,14.066774
207.171614,33.210739
207.172177,45.334519
207.17274,50.703433
207.173303,51.129362
207.173866,48.110101
207.174429,43.323234
207.174993,34.981774
207.175556,11.842079
207.176119,0.000595
207.176682,0
207.177245,0
207.177808,0
207.178371,0
207.252723,0
207.253286,0
207.25385,0
207.254413,0
207.254977,16.585706
207.25554,34.654393
207.256103,43.407653
207.256667,42.107884
207.25723,26.554652
207.257794,7.075346
207.258357,0.00036
207.258921,0
207.259484,0
207.260048,0
207.260611,0
207.276389,0
207.276952,0
207.277516,0
207.278079,0
207.278643,12.184951
207.279206,38.018442
207.27977,47.08816
207.280333,47.200375
207.280897,39.737084
207.28146,21.113217
207.282024,0.001076
207.282587,0
207.283151,0
207.283715,0
207.284278,0
207.331624,0
207.332188,0
207.332752,0
207.333316,0
207.333879,14.640854
207.334443,36.172111
207.335007,47.945335
207.335571,51.153493
207.336134,47.979335
207.336698,42.357102
207.337262,35.582127
207.337826,15.067543
207.338389,0.000774
207.338953,0
207.339517,0
207.340081,0
207.340645,0
207.407751,0
207.408315,0
207.408879,0
207.409443,0
207.410007,9.697906
207.410571,34.456499
207.411135,49.949113
207.411699,49.148304
207.412263,35.378661
207.412827,15.358047
207.413391,0.000797
207.413955,0
207.414519,0
207.415084,0
207.415648,0
207.704762,0
207.705327,0
207.705892,0
207.706457,0
207.707023,12.154429
207.707588,32.397339
207.708153,48.06225
207.708719,51.001339
207.709284,38.42335
207.709849,12.154597
207.710414,0.000655
207.71098,0
207.711545,0
207.71211,0
207.712676,0
207.760734,0
207.7613,0
207.761865,0
207.762431,0
207.762996,14.97576
207.763562,37.791813
207.764127,48.719682
207.764693,44.490788
207.765258,26.323689
207.765824,7.213159
207.766389,0.000391
207.766955,0
207.76752,0
207.768086,0
207.768651,0
208.100447,0
208.101014,0
208.101581,0
208.102148,0
208.102714,19.914881
208.103281,40.329882
208.103848,32.839047
208.104415,3.287678
208.104982,0
208.105549,0
208.106116,0
208.106683,0
208.185505,0
208.186072,0
208.18664,0
208.187207,0
208.187774,29.104231
208.188341,41.169591
208.188909,28.292664
208.189476,0
208.190043,0
208.19061,0
208.191178,0
208.350099,0
208.350667,0
208.351235,0
208.351803,0
208.352371,6.137672
208.352939,27.602354
208.353507,42.313262
208.354075,35.744104
208.354643,12.543483
208.355211,0.000731
208.355778,0
208.356346,0
208.356914,0
208.357482,0
208.5183,0
208.518869,0
208.519437,0
208.520006,0
208.520575,13.174004
208.521143,44.052797
208.521712,61.189897
208.52228,64.347537
208.522849,49.930988
208.523418,22.386068
208.523986,0.00133
208.524555,0
208.525123,0
208.525692,0
208.526261,0
208.672474,0
208.673043,0
208.673612,0
208.674181,0
208.67475,18.23405
208.67532,34.99155
208.675889,44.734304
208.676458,46.365257
208.677027,39.506751
208.677597,9.784739
208.678166,0.000591
208.678735,0
208.679304,0
208.679874,0
208.680443,0
208.689551,0
208.69012,0
208.69069,0
208.691259,0
208.691828,13.622193
208.692398,32.795301
208.692967,43.597949
208.693536,43.857985
208.694106,36.040009
208.694675,12.551067
208.695244,0.00076
208.695814,0
208.696383,0
208.696952,0
208.697521,0
208.853604,0
208.854174,0
208.854744,0
208.855313,0
208.855883,12.355156
208.856453,37.462833
208.857023,45.468252
208.857593,49.533566
208.858163,47.768418
208.858733,42.719832
208.859303,37.638046
208.859873,21.940339
208.860443,0.001353
208.861013,0
208.861583,40.43959
208.862153,49.822935
208.862723,49.102795
208.863293,44.498317
208.863863,34.840606
208.864433,1.54062
208.865003,0.000095
208.865573,0
208.866143,0
208.866713,0
208.867283,0
208.881535,0
208.882105,0
208.882675,0
208.883245,0
208.883815,5.622521
208.884385,24.143697
208.884955,43.530277
208.885525,49.356197
208.886095,41.156662
208.886665,20.34571
208.887235,0.001259
208.887806,0
208.888376,0
208.888946,0
208.889516,0
208.980763,0
208.981334,0
208.981904,0
208.982475,0
208.983045,11.315272
208.983616,36.881329
208.984186,50.718132
208.984757,57.732696
208.985327,51.65245
208.985898,32.487599
208.986468,10.668244
208.987039,0.000667
208.987609,0
208.98818,0
208.98875,0
208.989321,0
209.005296,0
209.005867,0
209.006437,0
209.007008,0
209.007578,14.978871
209.008149,36.734175
209.00872,48.319094
209.00929,45.475685
209.009861,31.729152
209.010431,9.846314
209.011002,0.000617
209.011573,0
209.012143,0
209.012714,0
209.013285,0
209.076066,0
209.076637,0
209.077208,0
209.077779,0
209.07835,13.395661
209.078921,19.690253
209.079492,11.39833
209.080063,0
209.080633,0
209.081204,0
209.081775,0
209.089768,0
209.090339,0
209.09091,0
209.091481,0
209.092052,44.592847
209.092623,187.071028
209.093194,345.484571
209.093765,413.132615
209.094336,335.551506
209.094906,130.645002
209.095477,0
209.096048,0
209.096619,0
209.09719,0
209.110894,0
209.111465,0
209.112036,0
209.112607,0
209.113178,19.090269
209.113749,40.958701
209.11432,14.2848
209.114891,0
209.115462,0
209.116033,0
209.116604,0
209.117175,0
209.117746,0
209.118317,0
209.118888,0
209.119459,33.334832
209.120031,1.640664
209.120602,0.000104
209.121173,0
209.121744,0
209.122315,0
209.122886,0
209.134308,0
209.134879,0
209.13545,0
209.136021,0
209.136592,46.244136
209.137163,89.75666
209.137734,122.160525
209.138305,142.062889
209.138877,128.689763
209.139448,83.891679
209.140019,42.055797
209.14059,8.236486
209.141161,0.000523
209.141732,0
209.142303,0
209.142875,0
209.143446,0
209.176005,0
209.176576,0
